AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SBP
3,3,3,1,15,1,12,1,4,1,0,8,8,7,11,8,0,1,0,7,197,29,136,51,72,32,83,115,56,59,16,16,17,1,5,0.24,26,26,28,8,0
1,1,1,1,7,0,6,0,1,1,0,3,3,2,2,3,2,0,0,1,54,8,26,13,11,20,14,20,13,7,2,2,2,1,1,0.77,4,4,4,3,0
2,2,2,1,7,0,7,0,1,0,0,4,4,4,0,4,0,0,0,4,64,5,38,19,13,21,11,19,8,11,4,4,4,4,1,0.55,8,8,8,7,1
1,1,2,1,14,0,11,2,1,0,0,7,17,17,3,17,0,0,11,6,218,24,103,37,57,91,47,61,30,31,4,4,11,1,1,0.88,13,13,20,7,0
1,1,1,1,5,0,4,1,1,0,0,13,13,13,0,13,0,0,9,4,123,14,70,26,30,40,16,30,16,14,1,1,1,1,0,0.57,13,13,13,13,0
1,1,1,1,5,0,4,1,1,0,0,12,12,12,0,12,0,0,9,3,114,14,67,25,29,34,15,28,15,13,1,1,1,1,0,0.51,12,12,12,12,0
1,1,1,1,5,0,4,1,1,0,0,13,13,13,0,13,0,0,9,4,119,14,66,26,26,39,15,29,16,13,1,1,1,1,0,0.59,13,13,13,13,0
1,1,1,1,5,0,4,0,1,0,0,12,12,12,0,12,0,0,9,3,109,13,63,25,25,33,14,27,15,12,1,1,1,1,0,0.52,12,12,12,12,0
1,1,1,1,5,0,3,1,1,0,0,12,12,12,0,12,0,0,9,3,117,14,61,25,23,43,15,28,15,13,1,1,1,1,0,0.7,12,12,12,12,0
1,1,1,1,5,0,4,1,1,0,0,11,11,11,0,11,0,0,9,2,107,13,59,25,22,36,15,26,14,12,1,1,1,1,0,0.61,11,11,11,11,0
10,4,10,1,64,1,48,15,1,0,0,1,2,2,0,2,0,0,2,0,91,5,55,10,40,31,32,37,9,28,10,4,10,1,1,0.56,10,4,10,1,0
4,4,6,2,25,1,21,4,1,0,0,7,7,7,5,7,0,1,2,4,271,26,164,50,112,95,81,113,41,72,23,23,30,7,4,0.58,34,34,42,17,0
1,1,1,1,6,0,6,0,2,0,0,11,13,13,1,13,0,0,2,11,140,19,87,40,38,35,35,52,31,21,4,4,5,4,2,0.4,16,16,17,16,0
3,3,3,1,26,3,15,8,1,1,6,19,19,18,13,19,6,5,0,8,671,89,346,154,223,245,220,279,144,135,9,9,9,1,3,0.71,61,61,67,19,0
1,1,1,1,8,0,7,0,2,0,0,8,8,8,1,8,0,0,0,8,102,16,64,34,32,22,34,46,31,15,4,4,5,4,1,0.34,11,11,15,11,0
4,4,5,1,24,0,23,1,1,1,3,2,2,1,7,2,0,1,0,1,104,15,60,23,31,29,26,35,15,20,7,7,9,1,1,0.48,8,8,10,2,0
2,2,2,1,29,1,26,1,6,0,2,30,30,30,12,30,2,9,14,5,685,48,556,171,374,81,216,294,132,162,11,11,11,6,6,0.15,74,74,75,45,0
2,2,2,1,14,0,12,1,4,0,0,60,60,60,44,60,0,32,0,28,1048,86,843,264,511,119,367,485,179,306,7,7,7,5,4,0.14,121,121,127,74,0
1,1,1,1,6,0,5,1,2,7,0,10,11,2,0,9,2,1,0,6,104,12,60,27,32,32,28,43,26,17,3,3,3,3,1,0.53,15,15,15,14,0
2,2,3,1,27,2,23,2,13,6,9,73,77,68,50,74,8,32,1,33,2246,237,1713,476,1186,298,747,967,372,595,18,18,20,5,4,0.17,215,215,230,97,1
3,3,4,1,33,2,27,3,9,3,11,60,60,57,50,60,4,32,1,23,2303,252,1735,464,1224,318,768,999,377,622,20,20,22,5,4,0.18,223,223,241,92,0
